x,y,steering,heading
11.51582322,5.041383553,0.13840624,-0.239875584
11.52108577,5.040391564,0.13863982,-0.239467568
11.526349,5.039402171,0.138873483,-0.239058844
11.53161097,5.038415735,0.139107143,-0.238649562
11.53687262,5.037432088,0.139340841,-0.238239649
11.54213491,5.036451049,0.139574622,-0.237829029
11.54739526,5.035473102,0.139808369,-0.237417904
11.55265415,5.034498162,0.140042105,-0.237006238
11.5579191,5.033524839,0.140276163,-0.23659344
11.5631816,5.032554712,0.140510165,-0.236180177
11.56843818,5.031588416,0.140743959,-0.235766723
11.57382256,5.030601479,0.140983491,-0.23534253
11.57906451,5.029643409,0.141216741,-0.234928905
11.58424374,5.028699487,0.141447252,-0.234519593
11.58949358,5.027745424,0.141680959,-0.234104045
11.59468992,5.026803789,0.141912337,-0.233692091
11.59993591,5.025855894,0.142145979,-0.233275548
11.60518157,5.024910809,0.142379659,-0.232858377
11.61050168,5.02395513,0.142616712,-0.232434613
11.61576594,5.023012269,0.14285133,-0.232014637
11.62099758,5.022078005,0.143084547,-0.231596615
11.62623255,5.021145896,0.143317967,-0.231177674
11.63148869,5.020212793,0.143552384,-0.230756383
11.63672881,5.0192853,0.143786141,-0.230335722
11.64200341,5.018354501,0.14402149,-0.229911631
11.64728743,5.017424854,0.144257315,-0.229486118
11.65251939,5.016507143,0.14449087,-0.229064147
11.6577548,5.015591598,0.144724632,-0.228641244
11.66289853,5.014694783,0.144954354,-0.228225117
11.66813972,5.013783739,0.145188482,-0.227800451
11.67328619,5.012891866,0.145418431,-0.227382829
11.67851738,5.011988074,0.14565222,-0.22695768
11.68374263,5.011088086,0.145885797,-0.226532363
11.6889669,5.010191046,0.146119385,-0.226106475
11.69419372,5.009296352,0.146353141,-0.225679728
11.69942742,5.008403275,0.146587259,-0.225251766
11.70475212,5.007497545,0.146825504,-0.224815687
11.70996197,5.006614152,0.147058664,-0.224388365
11.71508943,5.005747438,0.14728819,-0.223967174
11.72031235,5.004867365,0.147522042,-0.223537491
11.72568639,5.003964756,0.14776272,-0.223094684
11.73074568,5.003117709,0.147989352,-0.222677202
11.73596523,5.002246597,0.148223218,-0.222245844
11.7411812,5.001378886,0.148456977,-0.221814133
11.74640083,5.000513373,0.148690956,-0.221381467
11.7516159,4.999651424,0.148924785,-0.220948529
11.75682999,4.998792445,0.149158624,-0.220515022
11.7620418,4.997936653,0.149392416,-0.220081056
11.76725152,4.997084013,0.149626169,-0.219646614
11.77244925,4.99623614,0.149859439,-0.219212525
11.77773211,4.995377257,0.150096586,-0.218770659
11.78294188,4.994533092,0.150330507,-0.218334256
11.7881452,4.993692791,0.150564193,-0.217897745
11.79334387,4.992856056,0.150797725,-0.217460978
11.79856039,4.992019279,0.151032115,-0.217022058
11.80375335,4.991189101,0.1512655,-0.216584474
11.80901508,4.990350806,0.151502034,-0.216140432
11.81421296,4.989525524,0.151735751,-0.21570113
